umhlaba	u m hlaba
sebezowaciba	se be zo wa cib a
lukhuni	lukhuni
esesemabangeni	e se se ma bang eni
nendaba	n e n daba
wawudidizela	w a wu didizel a
ilori	i lori
ngezindlela	ng e zin dlela
wayehamba	w a ye hamb a
esaba	esab a
wethuka	w ethuk a
yingalesosikhathi	yi nga le s o si khathi
ngubuthatha	ng u bu thatha
abekucele	a be ku cel e
osumbonile	o s u m bon ile
umqondo	u m qond o
ithuna	i thun a
kuyabuswa	ku ya bus w a
kuwo	ku wo
izikhonkwane	i zi khonkw ane
ngiphela	ngi phel a
basebancane	ba se ba ncane
baxinwe	ba xin w e
wumuthi	w u mu thi
ubakhwabanisele	u ba khwaban is el e, u ba khwabanis el e
ukutshela	u ku tshel a
iyiqiniso	i y i qinis o
uzokhula	u zo khul a
isiludwamba	i s i lu dwamba
awungazi	a wu ng azi
ngisakhuluma	ngi sa khulum a
okudala	o ku dal a
uphume	u phum e
wobufakazi	w o bu fakaz i, w o bu fakazi
uphuma	u phum a
ikuphi	i ku phi
nicabanga	ni cabang a
ekhombisisa	e khombis is a
ababethuthelekela	a ba be thuthel ek el a
ujosefa	u josefa
izombulala	i zo m bulal a
ngumniniyo	ng u m nini yo
kuzokoba	ku zo k ob a
yasesikoleni	yasesikoleni
kufikwa	ku fik w a
liqala	li qal a
liqale	li qal e
wangikhulula	w a ngi khulul a
akungeni	a ku ngen i
ayesemaningi	a ye se ma ningi
abakhwenyana	a ba khwenyana
uyoze	u yo z e, u yo ze
onjani	o njani
udla	u dl a
amaphephandaba	a ma phepha n daba
kanti	kanti
tom	tom
eqe	eq e
ngomgqibelo	ng o m gqibel o
bikho	bikho
siqeda	si qed a
uwunikwe	u wu nik w e
nedombolo	n e dombolo
engingemuva	e ngi ng emuva
umuzi	u mu zi
sakhiwe	s akh iw e
walandiswa	w a land is w a
kukhonjwa	ku khonj w a
ubanike	u bani ke
ngingemxoxele	ngi nge m xox el e
ukusa	u ku s a
singahlanganiswa	si nga hlangan is w a
sekusho	se ku sho
yithonya	y i thonya
ukuqundeka	u ku qund ek a
akumsizanga	a ku m siz anga
ubuhlungu	u buhlungu
isangoma	i s angoma
ngisafuna	ngi sa fun a
ngamzuza	ng a m zuz a
umkhulu	u m khulu
sebehleli	se be hlel i
ungcobo	u ngcobo
nemfolozi	n e m folozi
ngaziphi	ng a z iphi
engabe	e nga b e
ephosisa	e phos is a
abangayazi	a ba nga y azi
izichwe	i zi chwe
ukhona	u kho na
selishintshile	se li shintsh ile
ngiyamtshela	ngi ya m tshel a
omuhle	o mu hle
ngiyabuza	ngi ya buz a
konakeleni	k on akel e ni
nepeni	n e peni
akafunde	a ka fund e
ungizwe	u ngi zw e
ngahamba	ng a hamb a
wakhohlwa	w a khohl w a
impela	impela
uphi	u phi
ngokudlula	ng o ku dlul a
upha	u ph a
uzazi	u z azi
umshini	u m shini
izinkomo	i zin komo
kumenyezelwe	ku menyez el w e
uzokhuphuka	u zo khuphuk a
nsizwa	n sizwa
eziqwini	e zi qw ini
ongayithandi	o nga yi thand i
yangenza	y a ng enz a
ziyabila	zi ya bil a
ziyangigegela	zi ya ngi geg el a
nabanalesisifo	n a ba na le si si f o
ngamuthi	nga mu thi
ayesekuzwile	a ye se ku zw ile
ngabandayo	ng a band a yo
usuphehlwa	u s u phehl w a
akalahlwa	a ka lahl w a
ehovisi	e hovisi
iwaphihlizeka	i wa phihliz ek a
kwathi	kw a thi
yebo	yebo
ungitshela	u ngi tshel a
ungitshele	u ngi tshel e
ukusintinyela	u ku si ntinyel a
osefike	o se fik e
wawatshela	w a wa tshel a
nokungaboni	n o ku nga bon i
basuke	ba suk e
izulu	i zulu
emvilophini	e m viloph ini
iphindiwe	i phind iw e
basuka	ba suk a, b a suk a
ogulayo	o gul a yo
ngoba	ngoba
ishe	i sh e
ngenyanga	ng e nyanga
bangamaqhawe	ba ng a ma qhawe
sewacabanga	se wa cabang a
umdlaka	u m dlaka
isho	i sho
imbiza	i m biza
ngababili	ng a ba bili
ayesezama	a ye se zam a
isalukazi	i s alu kazi
kudidizelwa	ku didiz el w a
yakwamncube	ya kwa m ncube
nangapha	na ngapha
abadala	a ba dala
umshana	u m shana
ibhema	i bhem a
zibiza	zi biz a
kwe	kw e, kwe
ungazifaka	u nga zi fak a
sikhombe	si khomb e
eziboshwe	e zi bosh w e
kwengozi	kw e n gozi
wadlala	w a dlal a
kumfana	ku m fana
sengiyasebenza	se ngi ya sebenz a
igcinekile	i gcin ek ile
isithunzi	i si thunzi
kungafika	ku nga fik a
ukusebenzela	u ku sebenz el a
usuhlebeke	u s u hleb ek e
nezipopolo	n e zi popol o
asezikhohliwe	a se zi khohl iw e
mazisize	ma zi siz e
mnganami	m ngan a mi
wekamelo	w e kamelo
ukubona	u ku bon a
lomame	l o mame
abafowethu	a ba fo w ethu
igilo	i gilo
utozi	u tozi
ebuza	e buz a
ngukuba	ng ukuba
ezolimala	e zo limal a
kanzimande	ka nzima n de
ayibambi	a yi bamb i
wagqanqula	w a gqanqul a
nengingakubonisa	n e ngi nga ku bon is a
nomshwalense	n o m shwalense
babheke	ba bhek e
ngosiko	ng o siko
emathekwini	e ma thekw ini
bayothenga	ba yo theng a
ngumnu	ng u m nu
kusacingwa	ku sa cing w a
ukhuleka	u khulek a
oweloli	o w e loli
bengizothini	be ngi zo thi ni
omunye	o mu nye
emabhantshini	e ma bhantsh ini
uchitha	u chith a
azimnakile	a zi m nak ile
ishwa	i shwa
ngelikade	ng e li kade
usalokhu	u sa lokhu
siyovuka	si yo vuk a
ngaphuma	ng a phum a
sadilizelwani	s a diliz el w a ni
endodakazini	e n doda kaz ini
nonkulunkulu	n o nkulu nkulu
luphathelene	lu phath el en e
ethekwini	e thekw ini
bamisa	ba m is a
angamqeda	a nga m qed a
lokobakhombisa	l o k o ba khomb is a
kuphakathi	ku phakathi
iyabonakala	i ya bon akal a
nembekamuzi	n e m bek a mu zi
ubekusho	u be ku sho
kwakukhanya	kw a ku khany a
nentombazane	n e n tombaz ane
akasezukubuya	a ka se zu ku buy a
ovelayo	o vel a yo
nakuyona	na ku yo na
ukudla	u ku dl a
sigcwele	si gcwel e
waqinisela	w a qinisel a
imininingwane	i mi niningwane
esesele	e se sel e
sewufuthekile	se wu futh ek ile
ngani	nga ni
sincane	si ncane
empilweni	e m pil w eni
ingalibala	i nga libal a
kuyokwenzeka	ku yo kw enz ek a
ungumthakathi	u ng u m thakath i
uyihlozala	u yi hlozal a
umnika	u m nik a
liyofudumala	li yo fudumal a
angisandi	a ngi s and i
singagqilazwa	si nga gqilaz w a
ufodo	u fodo
selingayithela	se li nga yi thel a
ngosithembiso	ng o si themb is o
abebengaqonde	a be be nga qond e
zokukhokhela	z o ku khokh el a
somhlangano	s o m hlangan o
futhi	futhi
sibalayela	si ba layel a
enanimbiza	e n a ni m biz a
bamane	ba mane
kabhanoyi	ka bhanoyi
ncane	ncane
kuyokhulunywa	ku yo khuluny w a
uvele	u vele
singasazi	si nga s azi
buthule	bu thul e
wayeseshiyekile	w a ye se shiy ek ile
iyabiza	i ya biz a
isezinyaweni	i se zi nyaw eni
akhwelephi	a khwel e phi
uyaziphendula	u ya zi phendul a
ezixoshile	e zi xosh ile
imqhofoza	i m qhofoz a
ibuza	i buz a
nelilodwa	n e li lo dwa
lenqola	l e n qola
eliya	e li y a
asiphuthume	a si phuthum e
kwakungasasizi	kw a ku nga sa siz i
ngizozama	ngi zo zam a
wayeyithatha	w a ye yi thath a
lwencwadi	lw e n cwadi
ngazini	ng azi ni
kubizwe	ku biz w e
emnyango	e m nyango
kubizwa	ku biz w a
angabuyi	a nga buy i
lempi	le m pi, l e m pi
isibaya	i si baya
ibalisa	i bal is a
ungangitsheli	u nga ngi tshel i
likhalile	li khal ile
yamandwandwe	y a ma ndwandwe
sidinga	si ding a
athukuthele	a thukuthel e
sesejwayelene	se s ejway el en e
wawusumukhulu	w a wu s u mu khulu
ngiyomjezisa	ngi yo m jez is a
zixoxelwa	zi xox el w a
sezilapha	se zi lapha
uthengise	u theng is e
kubuswa	ku bus w a
ngimdlulisele	ngi m dlul is el e
nakodokotela	na k o dokotela
ekhona	e kho na
sibukane	si buk an e
olukhuni	o lukhuni
nobhulose	n o bhulose
ekuthini	e ku th ini
yakho	ya kho
lwendlala	lw e n dlala
imdedele	i m dedel e
abalapha	a ba lapha
ngingenwe	ngi ngen w e
no	n o
na	na
ophelela	o phel el a
ngazibonela	ng a zi bon el a
kamhlophe	ka mhlophe
akakhulunyiswa	a ka khuluny is w a
sebezosizakala	se be zo siz akal a
ahlabe	a hlab e
ababonanga	a ba bon anga
esewuphethe	e se wu pheth e
ukuntula	u ku ntul a
babemvakashela	ba be m vakash el a
zaziyazi	z a zi y azi
bayakuthanda	ba ya ku thand a
yiyona	yi yo na
kuleminyaka	ku le mi nyaka
bamba	bamb a
bakhwenyana	ba khwenyana
umfaniseni	u m fan is e ni
ndaba	n daba
sokuhleba	s o ku hleb a
uyahishwa	u ya hish w a
omamba	o mamba
likagogo	lika gogo
eziphambi	e zi phambi
uyazikhohlisa	u ya zi khohl is a
emadwaleni	e ma dwal eni
baxoxa	ba xox a
uphakamisa	u phakam is a
cetshwayo	cetshwayo
mnyama	mnyama
izimpahla	i zim pahla
uzongithethisa	u zo ngi theth is a
uyibeka	u yi bek a
cosololo	cosololo
waqoma	w a qom a
waluqala	w a lu qal a
nendlu	n e n dlu
ngasola	ng a sol a
ngizophindela	ngi zo phind el a
akuzona	a ku zo na
umkhonto	u m khonto
yale	ya le
yalo	ya lo
nezimbuzi	n e zim buzi
sezigwinya	se zi gwiny a
eseyobheka	e se yo bhek a
kepha	kepha
sayo	sa yo
bake	ba ke
ubuye	u buye
ngalabomadlebhekile	nga la b o ma dl e bhek ile
namahlulana	n a ma hlul ana
ingqondo	i n gqond o
gege	gege
egcotshwayo	e gcotsh w a yo
umashiyakukhalwa	u ma shiy a ku khal w a
awuzange	a wu zange
siphele	si phel e
kwadlula	kw a dlul a
ukuzwa	u ku zw a
komoya	k o moya
angihambe	a ngi hamb e
ongemuntu	o nge mu ntu
lizomceba	li zo m ceb a
yozi	yozi
baningi	ba ningi
wachaza	w a chaz a
ulindele	u lind el e
esibonakalayo	e si bon akal a yo
ezinhlamvini	e zin hlamv ini
uhlwelwa	u hlwel w a
baqalaqalaza	ba qalaqalaz a
ikhuphukela	i khuphuk el a
kwakungukuthi	kw a ku ng ukuthi
nhloko	n hloko
bangitshele	ba ngi tshel e
ungazi	u ng azi
bembe	b emb e
ombonayo	o m bon a yo
engakuguqulanga	e nga ku guqul anga
ehene	e hen e
ifile	i f ile
iqedile	i qed ile
mamdunge	ma m dung e
sekufiwa	se ku f iw a
emva	emva
wethembele	w ethemb el e
uvamise	u vamis e
ishiwo	i sh iw o
ukushumayela	u ku shumayel a
olixova	o li xov a
ogcwele	o gcwel e
udlawu	u dlawu
ziliphuzi	ziliphuzi
azame	a zam e
siye	si y e
siya	si y a
ilandelwa	i landel w a
yesizulu	y e si zulu
ezemisebenzi	e z e mi sebenz i
ngiyakhumbula	ngi ya khumbul a
wande	w and e
yizinhlungu	y i zin hlungu
kwalolo	kwa lo l o
bathenge	b a theng e, ba theng e
gombela	gomb el a
kwakhona	kwa kho na
selibonakala	se li bon akal a
ezayo	e z a yo
ombhede	o m bhede
ithamo	i tham o
sewuqale	se wu qal e
wakucabanga	w a ku cabang a
nasehotela	na se hotela
izifele	i zi f el e
kutuswa	ku tus w a
ilokho	i lo kh o
azibona	a zi bon a
ilokhu	i lokhu
sisebenza	si sebenz a
ohlonishwa	o hlonish w a
ngokuphelele	ng o ku phel el e
ngasemnyango	nga se m nyango
efuna	e fun a
yayifundiswe	y a yi fundis w e
acasuke	a casuk e
yizandla	y i z andla
kunkosazana	ku n kos az ana
yokuhlola	y o ku hlol a
onguyise	o ng u yise
angayilaleli	a nga yi lalel i
ukuhlela	u ku hlel a
isikhulu	i si khulu
ukukholelwa	u ku kholel w a
okusho	o ku sho
kusahlehlela	ku sa hlehl el a
uzokunqoba	u zo ku nqob a
satakishwa	s a takish w a
ungaxoshelwa	u nga xosh el w a
bayoyithola	ba yo yi thol a
kunodaba	kun o daba
ngangikwenza	ng a ngi kw enz a
singadelile	si nga del ile
zehla	z ehl a
ukusangana	u ku sang an a
zehle	z ehl e
asisazi	a si s azi
ngumoya	ng u moya
abahlobo	a ba hlobo
kungapheli	ku nga phel i
esigqikini	e si gqik ini
kwegwebu	kw e gwebu
usezimisele	u se zi m is el e
inkosikazi	i n kosi kazi
eziluhlaza	e zi luhlaza
ayikho	a yi kho
okusemqoka	o ku se m qoka
acabange	a cabang e
ukubuyela	u ku buy el a
ezikhwameni	e zi khwam eni
nami	na mi
daba	daba
okwabizwa	o kw a biz w a
nguye	ngu ye
ushintshi	u shintshi
bokufa	b o ku f a
eyayenziwa	e y a y enz iw a
kwalomuthi	kwa lo mu thi
ukhwembe	u khwembe
sinoyihlo	si n o yihlo
kophahla	k o phahla
eshisiwe	e shis iw e
uyaye	u ya y e
ukuyingena	u ku yi ngen a
lugojwana	lu gojw ana
engathandi	e nga thand i
ezingabalelwa	e zi ngabalel w a
bube	bu b e
ukufa	u ku f a
namagama	n a ma gama
etshelwa	e tshel w a
ngakhangwa	ng a khang w a
iphinifo	i phinifo
kuyiwe	ku yi we
uyafundekela	u ya fundekel a
achithe	a chith e
kazethu	ka z ethu
zicosha	zi cosh a
wesula	w esul a
wangibangisani	w a ngi bang is a ni
kunempilo	ku n e m pil o
siyolisebenza	si yo li sebenz a
esontayo	e sont a yo
esephuma	e se phum a
lakho	la kho
ebe	e b e
sasethembisa	s a s ethemb is a
ukuxoshwa	u ku xosh w a
lakhe	la khe
ubaleke	u balek e
ukulisebenzisa	u ku li sebenz is a
lizophekwa	li zo phek w a
wawungeke	w a wu ngeke
kwasikhathaza	kw a si khathaz a
isigubhukazi	i si gubhu kazi
uyikhombisa	u yi khomb is a
babengcolisile	b a be ngcol is ile
azithumela	a zi thum el a
iyabhuquza	i ya bhuquz a
usuke	u suk e
usuka	u suk a
wazimisa	w a zi m is a
basayina	ba sayin a
usuku	u suku
abazenzayo	a ba z enz a yo
ngowasemagabheni	ng o wa se ma gabh eni
kungifikele	ku ngi fik el e
wayesekade	w a ye se kade
ichithwa	i chith w a
yangilahlekela	y a ngi lahl ek el a
umhlashana	u m hlash ana
r	r
eminyangweni	e mi nyangw eni
ana	ana
ngokulandelana	ng o ku landel an a
sodwa	so dwa
basibona	ba si bon a
ayeyinikwe	a ye yi nik w e
umfazi	u m fazi
besebancane	be se ba ncane
kuhlala	ku hlal a
okumdlukumeze	o ku m dlukumez e
nemijovo	n e mi jov o
nakancane	na ka ncane
kuso	ku so
enkulumeni	e n kulum eni
kusa	ku s a
eningi	e ningi
esebhuqekile	e se bhuq ek ile
sinomahazula	si n o mahazula
esifubeni	e si fub eni
uyisidalwa	u y i si dal w a
ngingayithathaphi	ngi nga yi thath a phi
engaqondi	e nga qond i
sebethandana	se be thand an a
wathola	w a thol a
bengivumelani	be ngi vum el a ni
wabhala	w a bhal a
kungase	ku nga se
uya	u y a
uye	u y e
lesizwe	l e si zwe
xhifi	xhifi
ukukhuluma	u ku khulum a
angeke	a ngeke
ngibashiye	ngi ba shiy e
bavalelise	ba val el is e
bavalelisa	ba valel is a
ongangilingi	o nga ngi ling i
samxaka	s a m xak a
isimilo	i si mil o
ngivuke	ngi vuk e
ayingangaye	a yi nganga ye
gula	gul a
amaningi	a ma ningi
izikhumba	i zi khumba
sila	sil a
waphoqeleka	w a phoqel ek a
angimnike	a ngi m nik e
umnyango	u m nyango
amangwevu	a ma ngwevu
nomamba	n o mamba
ukushalazele	u ku shalaz el e
gqamu	gqamu
usabuyisa	u sa buy is a
eseqalile	e se qal ile
ungemcashele	u nge m cash el e
bavelelwe	ba velel w e
ngicashe	ngi cash e
owayesethanda	o w a ye se thand a
izithukuthuku	i zi thukuthuku
isencane	i se ncane
wokuzibukela	w o ku zi buk el a
uthi	u thi
insizwa	i n sizwa
bededelana	be dedel an a
ngiyaphendula	ngi ya phendul a
ngicwaninga	ngi cwaning a
isimame	i si mame
abelungu	a be lungu
wayekhala	w a ye khal a
siqale	si qal e
acingwe	a cing w e
samafindofindo	s a ma findo findo
namali	na mali
uqoveqove	u qoveqove
nakuye	na ku ye
naphakathi	na phakathi
ngagula	ng a gul a
engani	e nga ni
afinyelele	a finyelel e
ababhuza	a b a bhuz a, a ba bhuz a
waye	w a y e
wasondela	w a sondel a
ezitolo	e zi tolo
akusasho	a ku sa sho
wayengasakuzwa	w a ye nga sa ku zw a
makakhokhelwe	ma ka khokhel w e
kwemibhede	kw e mi bhede
ngizwisise	ngi zw isis e
isuziwa	i suz iw a
ezihlahleni	e zi hlahl eni
ukungcofa	u ku ngcof a
akungihluphi	a ku ngi hluph i
namahlamvu	n a ma hlamvu
bakhuleka	ba khul ek a
yamatshe	y a ma tshe
iyammela	i ya m m el a
imvelo	i m vel o
njengawe	njenga we
noshoti	n o shoti
aphuphe	a phuph e
uyabonakala	u ya bon akal a
enjengaleyo	e njenga le y o
yakhe	ya khe
sithethe	si theth e
belungu	be lungu
awunaye	a wu na ye
emotweni	e motw eni
sophumelela	s o phumelel a
emgungundlovu	e m gungu n dlovu
ezoqala	e zo qal a
bezimkhonze	be zi m khonz e
dolly	dolly
niyabona	ni ya bon a
asamhlupha	a sa m hluph a
kuphela	ku phel a
wayowakholwa	w a yo wa khol w a
kuphele	ku phel e
ungqiphothwe	u ngqiphothwe
uzongizwa	u zo ngi zw a
emqondweni	e m qondw eni
izwi	i zw i
ngenkani	ng e n kani
intokazi	i n to kazi
ngafuna	ng a fun a
kwayo	kwa yo, kw a yo
sebengakuphi	se be nga ku phi
izwe	i zwe
uziphethe	u zi pheth e
useyozifunela	u se yo zi fun el a
isoka	i soka
elivuliwe	e li vul iw e
abakhulu	a ba khulu
epunoni	e punoni
bebaningi	be ba ningi
semali	s e mali
sewejwayela	se w ejwayel a
ukuya	u ku y a
ngathola	ng a thol a
kungani	ku ngani
ababili	a ba bili
sezihambile	se zi hamb ile
ayezibhalelwe	a ye zi bhal el w e
ngezandla	ng e z andla
konke	ko nke
ngingasindi	ngi nga sind i
unkomo	u n komo
oshayelayo	o shay el a yo
wazitshela	w a zi tshel a
engalingana	e nga ling an a
wayezobuye	w a ye zo buye
obabuzayo	o ba buz a yo
uqinela	u qin el a
nesi	nesi
ngiyazi	ngi y azi
iyodwa	i yo dwa
ngokweyisa	ng o kw eyis a
ngokwasemakhaya	ng o kwa se ma khaya
ntambama	ntambama
okubuhlungu	o ku buhlungu
akunakwenzeka	a ku na kw enz ek a
engakabona	e nga ka bon a
abeke	a bek e
sengisecaleni	se ngi se cal eni
udaka	u daka
izohlatshwa	i zo hlatsh w a
mahlangu	ma hlangu
zamehlo	z a me hlo
uyofihlelwa	u yo fihl el w a
adoni	adoni
ababewusebenzisa	a ba be wu sebenz is a
ne	n e
ngiyibhale	ngi yi bhal e
engasho	e nga sho
iyasetshenzelwa	i ya setshenz el w a
ongakuhlolanga	o nga ku hlol anga
akusibo	a ku si bo
sebegeza	se be gez a
uzongishiya	u zo ngi shiy a
yobuhle	y o bu hle
izibambe	i zi bamb e
ngisasho	ngi sa sho
baphuze	ba phuz e
sekuvunywa	se ku vuny w a
angizokubiza	a ngi zo ku biz a
uyinto	u y i n to
beya	be y a
ufuna	u fun a
amanga	a ma nga
wazibamba	w a zi bamb a
ixoxwa	i xox w a
akasafuni	a ka sa fun i
okhipha	o khiph a
lixhoshwa	li xhosh w a
zayo	za yo
zaya	z a y a
amathini	a ma thini
kuwena	ku we na
yehlela	y ehlel a
ejabulisayo	e jabul is a yo
kasikwazi	ka si kw azi
iyinkosi	i y i n kosi
uqwabe	u qwabe
uyagula	u ya gul a
ngezingane	ng e zin gane
owakhe	o wa khe
wathuthumba	w a thuthumb a
wawathatha	w a wa thath a
badinga	ba ding a, b a ding a
ithokozile	i thokoz ile
akawufuni	a ka wu fun i
ubhekisisa	u bhek isis a
ngento	ng e n to
ungihlolelani	u ngi hlol el a ni
untshangase	u ntshangase
ojulukayo	o juluk a yo
babemshaya	b a be m shay a
ingasisiza	i nga si siz a
sifunde	si fund e
esiya	e si y a
bangahlala	ba nga hlal a
ukubonelela	u ku bonel el a
acashise	a cash is e
umenzele	u m enz el e
kungebe	ku ng eb e
ziye	zi y e
isiphuku	i si phuku
ibhodlela	i bhodlela
igxolo	i gxolo
namadodakazi	n a ma doda kazi
ngisuke	ngi suk e
asafisa	a sa fis a
ngumdali	ng u m dal i
ukuzifikisela	u ku zi fik is el a
aze	a ze
nyoni	nyoni
ukuwavimba	u ku wa vimb a
esilungwini	e si lungw ini
anikezwe	a nikez w e
akunyama	a ku nyama
ufika	u fik a
ngalilahla	ng a li lahl a
ufike	u fik e
amadoda	a ma doda
utholakele	u thol akel e
amaprojekti	a ma projekti
ngiyayesaba	ngi ya y esab a
okunye	o ku nye
ethandile	e thand ile
ngezingiqi	ng e zin giqi
eningizimu	e ningi zimu
ukukhombisa	u ku khomb is a
bobesethelelekile	b o be se thel el ek ile
sekunesinyokotho	se ku n e si nyokotho
utangwembe	u tangwembe
isivuvu	i si vuvu
kangixolise	ka ngi xol is e
wawabeka	w a wa bek a
nomakoti	n o makoti
ukuphekela	u ku phek el a
ukugcaba	u ku gcab a
ayibhekayo	a yi bhek a yo
zizokuba	zi zo ku b a
toilet	toilet
sobala	s o bala
wahambisa	w a hamb is a
beshayana	be shay an a
kumagumbi	ku ma gumbi
emthini	e m th ini
nanguya	nan gu ya
lethu	l ethu
eshinga	e shing a
sekwenzekile	se kw enz ek ile
wazama	w a zam a
elikabani	e li ka bani
wesonto	w e sonto
silale	si lal e
ngokunqakisana	ng o ku nqak is an a
uzozithela	u zo zi thel a
asebenzise	a sebenz is e
owazi	o w azi
kwangizuma	kw a ngi zum a
balala	ba lal a
balale	ba lal e
yinganekwane	y i n ganekwane
yinsika	y i n sika
engqondo	e n gqond o
emfuleni	e m ful eni
seliyozilahla	se li yo zi lahl a
amtshele	a m tshel e
akahlakaniphile	a ka hlakaniph ile
zivaleleke	zi val el ek e
namhla	na m hla
izinyama	i zi nyama
nisosizini	ni so siz ini
ngokuthi	ng okuthi
nomfowabo	n o m fo wa bo
ngalelilanga	nga le li langa
yimvume	y i m vum e
kuma	ku m a
uyayidinga	u ya yi ding a
ngilungisa	ngi lung is a
sona	so na
yayithi	y a yi thi
isikhwama	i si khwama
babekhona	b a be kho na
enikina	e nikin a
nisesikoleni	ni se sikol eni
eledlule	e l edlul e
agwilize	a gwiliz e
kuntshangase	ku ntshangase
ezolala	e zo lal a
bamnquma	b a m nqum a, ba m nqum a
ningamaqhawe	ni ng a ma qhawe
kwangiphatha	kw a ngi phath a
udlamini	u dlamini
ayibheke	a yi bhek e
imimango	i mi mango
uyochaza	u yo chaz a
lingenisa	li ngen is a
intombazane	i n tomb az ane
yalesisizwe	ya le si si zwe
sasedukile	s a s eduk ile
ehlombe	e hlombe
uyokwazi	u yo kw azi
makapheke	ma ka phek e
kwashintsha	kw a shintsh a
ingase	i n gase
woma	w om a
engadli	e nga dl i
angithi	a ngi thi
okubi	o ku bi
bagomothelana	ba gomothel an a
kubona	ku bon a
lomsebenzi	lo m sebenz i
isililo	i si lil o
esedlula	e se dlul a
eyayihamba	e ya yi hamb a
ngiyabona	ngi ya bon a
kwayiso	kwa yiso
oqosheme	o qoshem e
ayichonce	a yi chonc e
ukwenzela	u kw enz el a
yazeka	y az ek a
ngiyambongela	ngi ya m bong el a
ubangwa	u bang w a
zomzobe	z o m zobe
sekushomene	se ku shom en e
ongangibhalela	o nga ngi bhal el a
ubingelela	u bingelel a
ithuba	i thuba
eziphethe	e zi pheth e
bezibonela	be zi bon el a
usavuma	u sa vum a
umsebenzi	u m sebenz i
sengimdala	se ngi m dala
babengena	b a be ngen a
babhekane	ba bhek an e
babhekana	ba bhek an a
kwabonakala	kw a bon akal a
engilindile	e ngi lind ile
lafinyelela	l a finyel el a
esihamba	e si hamb a
wazula	w a zul a
ngangazazi	ng a nga z az i
kwekhefu	kw e khefu
emanzini	e ma nz ini
kwawakhanyela	kw a wa khany el a
wayesecuphe	w a yese cuph e, w a yesecuph e
kubhabhalele	ku bhabhalel e
kwala	kw al a
kusengathi	ku sengathi
kwakwenzela	kw a kw enz el a
ngikhathele	ngi khathel e
uyakhala	u ya khal a
sezolandwa	se z o land w a
yisicebi	y i si ceb i
angishaye	a ngi shay e
liyavama	li ya vam a
uzolijwayela	u zo li jwayel a
lesikhombisa	l e si khomb is a
usephazamisekile	u se phazam is ek ile
oye	o y e
ngingathi	ngi nga thi
bazigcina	ba zi gcin a
sekuyimizuzu	se ku y i mi zuzu
okupheka	o ku phek a
ubeyobayobeka	u be yobayob ek a
ngumzali	ng u m zal i
esikhulu	e si khulu
nanto	nan t o
abakufisayo	a b a ku fis a yo, a ba ku fis a yo
bazothini	ba zo thi ni
nanti	nan ti
utshani	u tshani
nofasimba	n o fasimba
ukhuluma	u khulum a
bakhalisa	ba khal is a
eselibhungu	e se li bhungu
ephefeni	e phef eni
lemisho	le mi sho
umshado	u m shad o
ezikhathaza	e zi khathaz a
likanayipuroki	lika nayipuroki
ibheke	i bhek e
olunye	o lu nye
esikhundleni	e si khundl eni
ngibahlanganise	ngi ba hlangan is e
woqobo	w o qobo
izintombi	i zin tombi
nesibongo	n e si bong o
sekubuhlungu	se ku buhlungu
esanda	e sanda
lakhala	l a khal a
yilokho	yi lo kh o
ihlazo	i hlaz o
esekwazi	e se kw azi
kumangalise	ku mangal is e
yilokhu	yi lo khu
okwakuthiwa	o kw a ku th iw a
esukoti	e sukoti
lezo	le z o
ukukudonsela	u ku ku dons el a
beqambe	be qamb e
ize	i ze, i z e
lezi	le zi
ngingathini	ngi nga thi ni
weshumi	w e shumi
lolu	lo lu
babuye	ba buye
akahambe	a ka hamb e
babuya	ba buy a
nangentobeko	na ng e n tobek o
nokobejwayeza	n o k o be jwayez a
unelinye	u n e li nye
ungenwe	u ngen w e
unkwanyana	u nkwany ana
ngasikhihla	ng a si khihl a
kuphume	ku phum e
incwadi	i n cwadi
isifundo	i si fund o
kuphuma	ku phum a
abakholwa	a ba khol w a
elibomvu	e li bomvu
imvula	i m vula
ngumyeni	ng u m yeni
esashaya	e s a shay a
kunye	ku nye
yokukhathala	y o ku khathala
wayesebalindele	w a ye se ba lind el e
esawu	e sa w u
ududana	u dud ana
iphakwe	i phak w e
umuntu	u mu ntu
omamncube	o ma m ncube
esisiza	e si siz a
ngafika	ng a fik a
ngafike	ng a fik e
uyahogela	u ya hogel a
ukuziphatha	u ku zi phath a
kwesikhashana	kw e si khash ana
yayikade	y a yi kad e
zizobasiza	zi zo ba siz a
usefunda	u se fund a
sengingedwana	se ngi nge dw ana
ime	i m e
walujikijela	w a lu jikijel a
sikankosikazi	sika n kosi kazi, sika nkosi kazi
waqalaza	w a qalaz a
kwamalume	kwa malume
semoto	s e moto
egula	e gul a
imuphe	i mu ph e
ingxoxo	i n gxox o
okwesikhashana	o kw e si khash ana
kini	ki ni
kugcizelelwa	ku gcizel el w a
ayifiki	a yi fik i
ethola	e thol a
isingisi	i si ngisi
eziphendula	e zi phendul a
kwasendulo	kwa se n dulo
andise	and is e
osekhulile	o se khul ile
seyizosuka	se yi zo suk a
ukwethenjwa	u kw ethenj w a
ebhekisisa	e bhek isis a
baka	baka
kudele	ku del e
yasendlini	ya se n dl ini
nokufundisa	n o ku fund is a
kudela	ku del a
zifuneka	zi fun ek a
ekude	e kude
ntinini	ntinini
ezwakale	e zw akal e
akufunayo	a ku fun a yo
wayokhela	w a y okhel a
egqumeni	e gqum eni
ngiyobuye	ngi yo buy e
